,name,lng,lat,diet,period,type,length
19,Tyrannosaurus,-113.0289,51.906399,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
20,Tyrannosaurus,-113.23333,51.933334,carnivorous,Late Cretaceous 68-66 million years ago,large theropod,12.0
23,Camarasaurus,-108.699989,39.068802,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
24,Camarasaurus,-108.717499,39.111668,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
25,Ankylosaurus,-106.569901,47.637699,herbivorous,Late Cretaceous 74-67 million years ago,armoured dinosaur,7.0
29,Pachycephalosaurus,-106.227776,47.695831,herbivorous,Late Cretaceous 76-65 million years ago,euornithopod,8.0
36,Allosaurus,-106.041,41.893101,carnivorous,Late Jurassic 156-144 million years ago,large theropod,12.0
37,Allosaurus,-106.389999,42.035831,carnivorous,Late Jurassic 156-144 million years ago,large theropod,12.0
38,Allosaurus,-106.389999,42.035831,carnivorous,Late Jurassic 156-144 million years ago,large theropod,12.0
39,Diplodocus,-106.389999,42.035831,herbivorous,Late Jurassic 155-145 million years ago,sauropod,26.0
40,Stegosaurus,-106.389999,42.035831,herbivorous,Late Jurassic 155-145 million years ago,armoured dinosaur,9.0
41,Camarasaurus,-106.389999,42.035831,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
42,Allosaurus,-106.389999,42.035831,carnivorous,Late Jurassic 156-144 million years ago,large theropod,12.0
48,Maiasaura,-112.182777,47.8125,herbivorous,Late Cretaceous 80-75 million years ago,euornithopod,9.0
88,Styracosaurus,-111.565781,50.742214,herbivorous,Late Cretaceous 76-70 million years ago,ceratopsian,5.5
90,Apatosaurus,-105.187332,39.653423,herbivorous,Late Jurassic 154-145 million years ago,sauropod,21.0
96,Diplodocus,-105.916199,42.152302,herbivorous,Late Jurassic 155-145 million years ago,sauropod,26.0
99,Dilophosaurus,-110.32,36.145279,carnivorous,Early Jurassic 190 million years ago,large theropod,6.0
100,Dilophosaurus,-110.300003,36.099998,carnivorous,Early Jurassic 190 million years ago,large theropod,6.0
252,Iguanodon,3.633333,50.466667,herbivorous,Early Cretaceous 140-110 million years ago,euornithopod,10.0
253,Diplodocus,-106.048615,42.017776,herbivorous,Late Jurassic 155-145 million years ago,sauropod,26.0
254,Camarasaurus,-106.048615,42.017776,herbivorous,Late Jurassic 150-140 million years ago,sauropod,23.0
255,Stegosaurus,-106.048615,42.017776,herbivorous,Late Jurassic 155-145 million years ago,armoured dinosaur,9.0
257,Allosaurus,-106.048615,42.017776,carnivorous,Late Jurassic 156-144 million years ago,large theropod,12.0
